date,open,high,low,close,volume,outstanding_share,turnover
2015-12-17,3533.63,3583.41,3533.63,3580.0,28385648000.0,11804054579.0,2.404737101986929
2015-12-18,3574.94,3614.7,3568.16,3578.96,27370790400.0,11804054579.0,2.3187617624789705
2015-12-21,3568.58,3651.06,3565.75,3642.47,29984928000.0,11804054579.0,2.5402227513709295
2015-12-22,3645.99,3652.64,3616.87,3651.77,26117876300.0,11804054579.0,2.212619072980652
2015-12-23,3653.28,3684.57,3633.02,3636.09,29820179200.0,11804054579.0,2.5262657843900165
2015-12-24,3631.31,3640.22,3572.28,3612.48,22778523200.0,11804054579.0,1.92972025396461
2015-12-25,3614.05,3635.26,3601.74,3627.91,19845111100.0,11804054579.0,1.6812113979297791
2015-12-28,3635.77,3641.59,3533.78,3533.78,26998327800.0,11804054579.0,2.287207977505574
2015-12-29,3528.4,3564.17,3515.52,3563.74,18255192300.0,11804054579.0,1.546518798081203
2015-12-30,3566.73,3573.68,3538.11,3572.88,18788960900.0,11804054579.0,1.591737887541328
2015-12-31,3570.47,3580.6,3538.35,3539.18,17696365900.0,11804054579.0,1.4991768956645384
2016-01-04,3536.59,3538.69,3295.74,3296.26,18441842300.0,11804054579.0,1.5623311614306625
2016-01-05,3196.65,3328.14,3189.6,3287.71,26688208300.0,11804054579.0,2.260935691324204
2016-01-06,3291.2,3362.97,3288.93,3361.84,23888667000.0,11804054579.0,2.0237679214478663
2016-01-07,3309.66,3309.66,3115.88,3125.0,7056912300.0,11804054579.0,0.5978379931040473
2016-01-08,3194.62,3235.45,3056.88,3186.41,28644082200.0,11804054579.0,2.4266307825244424
2016-01-11,3131.85,3166.22,3016.7,3016.7,27164369100.0,11804054579.0,2.3012744407609538
2016-01-12,3026.16,3047.66,2978.46,3022.86,20765962200.0,11804054579.0,1.759222821363744
2016-01-13,3041.11,3059.02,2949.29,2949.6,19428210600.0,11804054579.0,1.6458929827860804
2016-01-14,2874.05,3012.29,2867.55,3007.65,21290564400.0,11804054579.0,1.8036653640925189
2016-01-15,2988.05,3001.71,2883.87,2900.97,19872169700.0,11804054579.0,1.6835037119663592
2016-01-18,2847.54,2945.45,2844.7,2913.84,16469969400.0,11804054579.0,1.395280688493333
2016-01-19,2914.41,3012.07,2906.4,3007.74,20527970300.0,11804054579.0,1.7390609440691913
2016-01-20,2993.01,3016.28,2951.92,2976.69,21650547400.0,11804054579.0,1.834161919118656
2016-01-21,2934.39,2998.79,2880.08,2880.48,19167566800.0,11804054579.0,1.6238121123313047
2016-01-22,2911.11,2931.36,2851.73,2916.56,15981073400.0,11804054579.0,1.3538630555327256
2016-01-25,2934.08,2955.78,2911.83,2938.52,15303905700.0,11804054579.0,1.2964956742259062
2016-01-26,2907.72,2911.99,2743.84,2749.78,21083605400.0,11804054579.0,1.786132490229991
2016-01-27,2756.08,2768.77,2638.3,2735.56,21572204600.0,11804054579.0,1.8275249792878816
2016-01-28,2711.16,2740.54,2647.49,2655.66,17112028000.0,11804054579.0,1.4496737443457055
2016-01-29,2652.85,2755.37,2649.79,2737.6,18667310600.0,11804054579.0,1.5814320812452083
2016-02-01,2730.98,2735.26,2655.62,2688.85,15638374400.0,11804054579.0,1.3248307431432456
2016-02-02,2687.98,2755.16,2687.98,2749.57,15807821100.0,11804054579.0,1.339185700489974
2016-02-03,2719.57,2746.07,2696.88,2739.25,14839721700.0,11804054579.0,1.2571715592031065
2016-02-04,2751.43,2793.3,2751.31,2781.02,17038201800.0,11804054579.0,1.4434194357514925
2016-02-05,2783.08,2790.06,2762.16,2763.49,14118628400.0,11804054579.0,1.1960829480675006
2016-02-15,2684.96,2760.36,2682.09,2746.2,12926393200.0,11804054579.0,1.0950807719066884
2016-02-16,2758.58,2840.62,2758.58,2836.57,19596161400.0,11804054579.0,1.6601212124910492
2016-02-17,2829.76,2868.7,2824.36,2867.34,21690992500.0,11804054579.0,1.8375882926354266
2016-02-18,2881.78,2893.22,2857.7,2862.89,21920387300.0,11804054579.0,1.8570218523893864
2016-02-19,2854.9,2872.72,2840.49,2860.02,16339141300.0,11804054579.0,1.3841973696960148
2016-02-22,2888.6,2933.96,2880.35,2927.18,23217604200.0,11804054579.0,1.9669177268381386
2016-02-23,2925.71,2928.05,2872.28,2903.33,19974066300.0,11804054579.0,1.6921360509070211
2016-02-24,2889.88,2929.87,2872.27,2928.9,21341038400.0,11804054579.0,1.8079413524541617
2016-02-25,2922.24,2922.24,2729.85,2741.24,27028441600.0,11804054579.0,2.2897591178614967
